sub_id,face_id,distance,familiar,sex,race,out_degree,in_degree,high,low,notes,,,
B2S-16fa0,B2S-183b5,distance_3+,1,female,white,1,0,,,,B2S-183b5,Yes,
B2S-16fa0,B2S-9b381,distance_3+,1,female,asian,3,1,,,,B2S-9b381,Yes,
B2S-16fa0,B2S-13243,distance_3+,1,male,asian,2,0,,,,B2S-13243,Yes,
B2S-16fa0,B2S-19b85,distance_3+,1,male,ambiguous,4,6,,,selected,B2S-19b85,Yes,
B2S-16fa0,B2S-1bbd4,distance_3+,1,ambiguous,black,,,,,,B2S-1bbd4,Yes,
B2S-16fa0,B2S-209f4,distance_3+,1,female,hispanic,1,2,,,,B2S-209f4,Yes,
B2S-16fa0,B2S-1c237,distance_3+,1,male,asian,4,5,,,,B2S-1c237,No,
B2S-16fa0,B2S-723cc,distance_3+,1,female,ambiguous,4,1,,,,B2S-723cc,No,
B2S-16fa0,B2S-1fcc7,distance_3+,1,female,asian,3,0,,,,B2S-1fcc7,No,
B2S-16fa0,B2S-1edc2,distance_3+,1,female,hispanic,1,1,,,,B2S-1edc2,Yes,
B2S-16fa0,B2S-157b3,distance_3+,1,,,,,,,,B2S-157b3,No,
B2S-16fa0,B2S-5cef3,distance_3+,1,female,hispanic,2,1,,,,B2S-5cef3,Yes,
B2S-16fa0,B2S-305a2,distance_3+,1,female,asian,2,2,,,,B2S-305a2,No,
B2S-16fa0,B2S-098e2,distance_3+,1,male,ambiguous,3,2,,,,B2S-098e2,No,
B2S-16fa0,B2S-028f7,distance_3+,1,male,ambiguous,2,1,,,,B2S-028f7,Yes,
B2S-16fa0,B2S-9ac86,distance_3+,1,,,,,,,,B2S-9ac86,No,
B2S-16fa0,A7S-add1418,stranger_H,0,female,white,2,-,1,0,"High: 3F white ----- Low: 3F ambiguous, white, asian; 1M: asian",A7S-add1418,Yes,
B2S-16fa0,A2N-68d0885,stranger_H,0,female,white,1,-,1,0,considered low,A2N-68d0885,No,
B2S-16fa0,A2N-c083245,stranger_H,0,female,white,1,-,1,0,considered low,A2N-c083245,No,
B2S-16fa0,B4S-5c156,stranger_H,0,female ,ambiguous,3,11,1,0,,B4S-5c156,Yes,
B2S-16fa0,A7S-3850722,stranger_L,0,male,asian,2,-,0,1,considered high,A7S-3850722,Yes,
B2S-16fa0,A2N-1dd2972,stranger_L,0,female ,ambiguous,0,-,0,1,,A2N-1dd2972,Yes,
B2S-16fa0,A2N-e594533,stranger_L,0,female ,ambiguous,1,-,0,1,,A2N-e594533,No,
B2S-16fa0,A7S-25a2868,stranger_L,0,female ,ambiguous,1,-,0,1,,A7S-25a2868,Yes,
B2S-16fa0,A2N-e9b6942,stranger_L,0,female ,ambiguous,1,-,0,1,,A2N-e9b6942,Yes,
B2S-16fa0,A2N-c172869,stranger_L,0,female,asian,0,-,0,1,,A2N-c172869,No,
B2S-16fa0,A2N-6be3846,stranger_L,0,female,asian,1,-,0,1,,A2N-6be3846,Yes,
B2S-16fa0,B4S-28413,stranger_L,0,male,asian,2,3,0,1,selected,B4S-28413,No,
B2S-16fa0,A7S-3062810,stranger_L,0,female,white,0,-,0,1,selected,A7S-3062810,No,
B4S-5c156,B4S-26f7a,distance_1,1,female,hispanic,5,3,0,1,,B4S-26f7a,Yes,B4S-5dd42
B4S-5c156,B4S-268f7,distance_1,1,female,asian,7,4,1,0,,B4S-268f7,Yes,B4S-20e50
B4S-5c156,B4S-20545,distance_1,1,female,hispanic,8,3,1,0,,B4S-20545,Yes,B4S-268f7
B4S-5c156,B4S-0d005,distance_1,1,male,white,5,2,0,1,,B4S-0d005,Yes,
B4S-5c156,B4S-628d9,distance_1,1,female,hispanic,2,1,1,1,selected LC,B4S-628d9,Yes,
B4S-5c156,B4S-20e50,distance_1,1,female,asian,6,5,1,0,selected MC,B4S-20e50,Yes,
B4S-5c156,B4S-755b1,distance_1,1,female,ambiguous,4,4,0,1,,B4S-755b1,No,
B4S-5c156,B4S-5dd42,distance_1,1,male,asian,3,8,0,1,selected HC,B4S-5dd42,Yes,
B4S-5c156,B4S-1389c,distance_2,1,female,asian,0,1,0,1,,B4S-1389c,Yes,
B4S-5c156,B4S-950c1,distance_2,1,female,white,0,0,0,1,,B4S-950c1,No,
B4S-5c156,B4S-12fe3,distance_3+,1,female,hispanic,4,1,,,selected MC,B4S-12fe3,Yes,
B4S-5c156,B4S-250d6,distance_3+,1,female,asian,2,1,,,,B4S-250d6,Yes,
B4S-5c156,B4S-179d7,distance_3+,1,female,asian,2,2,,,,B4S-179d7,No,
B4S-5c156,B4S-98db4,distance_3+,1,male,white,0,1,,,,B4S-98db4,Yes,
B4S-5c156,B4S-2928b,distance_3+,1,female,asian,2,1,,,,B4S-2928b,No,
B4S-5c156,B4S-6d036,distance_3+,1,male,asian,2,0,,,selected LC,B4S-6d036,Yes,
B4S-5c156,B4S-0937b,distance_3+,1,female,asian,2,1,,,,B4S-0937b,No,
B4S-5c156,B4S-41f2f,distance_3+,1,female,asian,0,1,,,,B4S-41f2f,Yes,
B4S-5c156,B4S-28413,distance_3+,1,male,asian,2,3,,,,B4S-28413,Yes,
B4S-5c156,B4S-96e74,distance_3+,1,female,hispanic,2,1,,,,B4S-96e74,Yes,
B4S-5c156,B4S-17383,distance_3+,1,female,white,2,2,,,,B4S-17383,Yes,
B4S-5c156,B4S-642b3,distance_3+,1,male ,white,6,1,,,selected HC,B4S-642b3,Yes,
B4S-5c156,A2N-02d7020,stranger_H,0,female,asian,2,-,1,0,selected LC,A2N-02d7020,No,"high: 4F asian (2), hispanic (2)----- low: 4F hispanic, ambiguous, asian, white; 2M asian, white"
B4S-5c156,A2N-ce92808,stranger_H,0,female,asian,3,-,1,0,,A2N-ce92808,No,
B4S-5c156,A2N-f330811,stranger_H,0,female,hispanic,3,-,1,0,,A2N-f330811,No,
B4S-5c156,A2N-a4a3154,stranger_H,0,female,hispanic,3,-,1,0,,A2N-a4a3154,No,
B4S-5c156,A2N-2273207,stranger_H,0,female,hispanic,5,-,1,0,selected HC,A2N-2273207,No,
B4S-5c156,A2N-68d0885,stranger_L,0,female,white,1,-,0,1,,A2N-68d0885,No,
B4S-5c156,A2N-c083245,stranger_L,0,female,white,1,-,0,1,,A2N-c083245,No,
B4S-5c156,A7S-3062810,stranger_L,0,female,white,0,-,0,1,,A7S-3062810,No,
B4S-5c156,A2N-6be3846,stranger_L,0,female,asian,1,-,0,1,,A2N-6be3846,No,
B4S-5c156,B4S-28413,stranger_L,0,male,asian,2,3,0,1,,B4S-28413,Yes,
B4S-5c156,A2N-8686958,stranger_L,0,female,hispanic,0,-,0,1,,A2N-8686958,No,
B4S-5c156,A7S-1b12868,stranger_L,0,female,hispanic,1,-,0,1,,A7S-1b12868,No,
B4S-5c156,A2N-c783915,stranger_L,0,female,hispanic,1,-,0,1,,A2N-c783915,No,
B4S-5c156,A2N-1dd2972,stranger_L,0,female,ambiguous,0,-,0,1,,A2N-1dd2972,No,
B4S-5c156,A2N-e594533,stranger_L,0,female,ambiguous,1,-,0,1,,A2N-e594533,No,
